code,i_date,time,open,high,low,close,vol,amount
SH600601,661536000,1990-12-19,185.3,185.3,185.3,185.3,5000,37000
SH600601,661622400,1990-12-20,185.3,194.6,185.3,194.6,2100,16000
SH600601,661708800,1990-12-21,204.3,204.3,204.3,204.3,800,6000
SH600601,661968000,1990-12-24,214.6,214.6,214.5,214.5,100,0
SH600601,662054400,1990-12-25,225.2,225.2,225.2,225.2,0,0
SH600601,662140800,1990-12-26,236.5,236.5,236.5,236.5,200,1000
SH600601,662227200,1990-12-27,236.5,236.5,236.5,236.5,0,0
SH600601,662313600,1990-12-28,238.9,238.9,238.9,238.9,500,4000
SH600601,662572800,1990-12-31,241.3,241.3,241.3,241.3,2300,22000
